sampleId	region	country	ageAverage	dataSource	groupLabel
SUBJ-FOFG-FN000003	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000016	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000043	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000132	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000148	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000177	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000233	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000236	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000244	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000254	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000271	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000275	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000289	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000299	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000339	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000429	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000480	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000495	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000570	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000619	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000741	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000744	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000762	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000768	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000769	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000806	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000809	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000876	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN000961	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001034	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001074	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001146	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001319	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001358	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001407	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001410	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001434	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001435	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001445	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
SUBJ-FOFG-FN001457	NorthernEurope	Faroe_Islands	0	thisStudy	Faroese_modern
Rathlin3	WesternEurope	Ireland	3585	Cassidy_PNAS_2016	Ireland_BronzeAge
NEO563	NorthernEurope	Denmark	3355	Allentoft_Nature_2024	Denmark_BronzeAge
NEO951	NorthernEurope	Denmark	3306	Allentoft_Nature_2024	Denmark_BronzeAge
NEO590	NorthernEurope	Denmark	3297	Allentoft_Nature_2024	Denmark_BronzeAge
NEO946	NorthernEurope	Denmark	3145	Allentoft_Nature_2024	Denmark_BronzeAge
V14	NorthernEurope	Estonia	3115	Saag_CurrentBiology_2019	Estonia_BronzeAge
X10	NorthernEurope	Estonia	3070	Saag_CurrentBiology_2019	Estonia_BronzeAge
V9	NorthernEurope	Estonia	3065	Saag_CurrentBiology_2019	Estonia_BronzeAge
X15	NorthernEurope	Estonia	3055	Saag_CurrentBiology_2019	Estonia_BronzeAge
NEO806	SouthernEurope	Italy	3013	Allentoft_Nature_2024	Italy_BronzeAge
X11	NorthernEurope	Estonia	2910	Saag_CurrentBiology_2019	Estonia_BronzeAge
0LS11	NorthernEurope	Estonia	2905	Saag_CurrentBiology_2019	Estonia_BronzeAge
cim359	CentralEasternEurope	Moldova	2873	Krzewinska_ScienceAdvances_2018	Moldova_IronAge_Cimmerian
cim358	CentralEasternEurope	Moldova	2840	Krzewinska_ScienceAdvances_2018	Moldova_IronAge_Cimmerian
R1	SouthernEurope	Italy	2834.05.00	Antonio_2019_Science	Italy_IronAge
